time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,
2020-07-08T07:10:38.314Z,34.2731,45.5909,10,4.3,mb,,66,0.848,0.63,us,us7000ajxw,2020-09-19T20:57:56.040Z,"32 km SW of Sarpol-e Z?ah?b, Iran",earthquake,6.7,1.8,0.137,15,reviewed,us,us,
2020-07-07T13:10:22.775Z,34.3568,45.5724,5.63,4.3,mb,,86,0.768,0.4,us,us7000ane3,2020-09-11T22:14:26.040Z,"29 km WSW of Sarpol-e Z?ah?b, Iran",earthquake,3.7,5.5,0.101,28,reviewed,us,us,
2020-07-07T08:52:26.357Z,34.3428,45.617,10,4.2,mb,,86,0.777,1.05,us,us7000ajdk,2020-09-11T22:14:25.040Z,"26 km WSW of Sarpol-e Z?ah?b, Iran",earthquake,6.6,1.6,0.108,24,reviewed,us,us,
2020-07-06T22:54:47.327Z,35.6505,40.5391,10,4.3,mb,,63,3.085,0.84,us,us7000aj3v,2020-09-11T22:14:22.040Z,"50 km NE of Deir ez-Zor, Syria",earthquake,6.5,1.9,0.086,38,reviewed,us,us,
2020-07-03T19:44:28.504Z,35.0986,45.3313,10,4,mb,,62,0.319,1.02,us,us7000akr0,2020-09-11T22:14:04.040Z,"52 km S of As Sulaym?n?yah, Iraq",earthquake,5.5,1.9,0.129,18,reviewed,us,us,
2020-06-26T01:14:32.589Z,35.3108,46.2284,10,4.1,mb,,184,0.458,0.93,us,us7000agq2,2020-09-05T17:35:40.040Z,"23 km S of Mar?v?n, Iran",earthquake,4,1.9,0.158,11,reviewed,us,us,
2020-06-08T03:44:20.641Z,33.6298,45.951,10,4.3,mb,,119,1.495,0.66,us,us6000aawe,2020-08-18T17:59:04.040Z,"38 km ESE of Mandal?, Iraq",earthquake,9.4,1.9,0.177,9,reviewed,us,us,
2020-06-04T01:27:30.387Z,33.3953,46.0707,10,4.4,mb,,71,1.741,0.69,us,us6000a5lf,2020-08-18T17:58:47.040Z,"31 km NNW of Mehr?n, Iran",earthquake,4.9,1.9,0.09,36,reviewed,us,us,
2020-06-03T08:16:53.519Z,33.4162,46.1104,10,5,mb,,49,1.727,1.11,us,us6000a50y,2020-08-18T17:58:45.040Z,"32 km N of Mehr?n, Iran",earthquake,6.8,1.8,0.039,215,reviewed,us,us,
2020-05-18T17:24:23.871Z,34.2596,45.5205,10,4.3,mb,,152,0.87,0.77,us,us70009nif,2020-08-02T00:28:44.040Z,"38 km SW of Sarpol-e Z?ah?b, Iran",earthquake,4,1.9,0.094,32,reviewed,us,us,
2020-05-06T08:07:59.634Z,33.9024,48.1622,10,4.8,mb,,54,2.352,1.29,us,us70009axp,2020-07-29T22:14:09.040Z,"10 km WNW of Aleshtar, Iran",earthquake,7.2,1.9,0.052,115,reviewed,us,us,
